filename,goodforairplane,BoxOffice,DVD,Production,Website,actors,awards,country,director,genre,imdbID,imdbRating,imdbVotes,language,metascore,plot,poster,rated,released,runtime,title,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,type,writer,year
Big_Hero_6,1,$222.5M,24-Feb-15,Walt Disney Pictures,http://www.disney.com/BigHero6,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller",Won 1 Oscar. Another 15 wins & 44 nominations.,USA,"Don Hall, Chris Williams","Animation, Action, Adventure",tt2245084,7.9,"164,471",English,74,"From Walt Disney Animation Studios, the team behind &quot;Frozen&quot; and &quot;Wreck-It Ralph,&quot; comes &quot;Big Hero 6,&quot; an action-packed comedy-adventure about the special bond that develops between Baymax, a plus-sized inflatable robot, and prodigy Hiro Hamada. When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called &quot;Big Hero 6.&quot;",http://ia.media-imdb.com/images/M/MV5BMjI4MTIzODU2NV5BMl5BanBnXkFtZTgwMjE0NDAwMjE@._V1_SX300.jpg,PG,7-Nov-14,102 min,Big Hero 6,"Agreeably entertaining and brilliantly animated, Big Hero 6 is briskly-paced, action-packed, and often touching.",166,certified,89,7.4,186,20,92,4.3,116551,movie,"Jordan Roberts (screenplay), Daniel Gerson (screenplay), Robert L. Baird (screenplay), Duncan Rouleau (Big Hero 6 team and characters created by), Steven T. Seagle (Big Hero 6 team and characters created by), Paul Briggs (head of story), Joseph Mateo (head of story)",2014
Black_Swan,1,$107.0M,29-Mar-11,Fox Searchlight,http://www.BlackSwan2010.com/,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Won 1 Oscar. Another 100 wins & 204 nominations.,USA,Darren Aronofsky,"Drama, Mystery, Thriller",tt0947798,8,"486,387","English, French, Italian",79,"Nina (Portman) is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica (Hershey) who exerts a suffocating control over her. When artistic director Thomas Leroy (Cassel) decides to replace prima ballerina Beth MacIntyre (Ryder) for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily (Kunis), who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her.",http://ia.media-imdb.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,R,17-Dec-10,108 min,Black Swan,"Bracingly intense, passionate, and wildly melodramatic, Black Swan glides on Darren Aronofsky's bold direction -- and a bravura performance from Natalie Portman.",238,certified,87,8.2,274,36,84,4,174256,movie,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",2010
Bobby_Jasoos,1,N/A,N/A,Reliance Entertainment,http://www.facebook.com/BobbyJasoos,"Vidya Balan, Ali Fazal, Mahima A, Abhishek C",N/A,India,Samar Shaikh,"Comedy, Drama, Thriller",tt3359290,5.5,"1,398","Urdu, Hindi",N/A,"Bobby Jasoos starring Vidya Balan, is a film that celebrates the aspiration of Bobby, who wants to become the number one detective in the old city area of Hyderabad. The film is directed by Samar Shaikh, produced by Dia Mirza and Sahil Sangha under their banner Born Free Entertainment and is presented by Reliance Entertainment. Bobby Jasoos releases on July 4th,2014.",http://ia.media-imdb.com/images/M/MV5BMTA1MzUwNTczODReQTJeQWpwZ15BbWU4MDU5NzkwOTEx._V1_SX300.jpg,N/A,4-Jul-14,121 min,Bobby Jasoos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,2.6,179,movie,Sanyukta Shaikh Chawla (screen play & dialogue by),2014
Boogie_Nights,0,N/A,7-Apr-98,New Line Cinema,N/A,"Luis Guzman, Burt Reynolds, Julianne Moore, Rico Bueno",Nominated for 3 Oscars. Another 36 wins & 38 nominations.,USA,Paul Thomas Anderson,Drama,tt0118749,7.9,"170,091",English,85,"Adult film director Jack Horner is always on the lookout for new talent and it's only by chance that he meets Eddie Adams who is working as a busboy in a restaurant. Eddie is young, good looking and plenty of libido to spare. Using the screen name Dirk Diggler, he quickly rises to the top of his industry winning awards year after year. Drugs and ego however come between Dirk and those around him and he soon finds that fame is fleeting.",http://ia.media-imdb.com/images/M/MV5BMTQxOTExODU2MF5BMl5BanBnXkFtZTcwMzc3MDE1OQ@@._V1_SX300.jpg,R,31-Oct-97,155 min,Boogie Nights,"Grounded in strong characters, bold themes, and subtle storytelling, Boogie Nights is a groundbreaking film both for director P.T. Anderson and star Mark Wahlberg.",60,certified,92,8.1,65,5,89,3.6,186812,movie,Paul Thomas Anderson,1997
Bronson,0,N/A,9-Feb-10,Magnolia Pictures,http://www.magnetreleasing.com/bronson/,"Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker",3 wins & 5 nominations.,UK,Nicolas Winding Refn,"Action, Biography, Crime",tt1172570,7.1,"63,816",English,71,"In 1974, a hot-headed 19 year old named Michael Peterson decided he wanted to make a name for himself and so, with a homemade sawn-off shotgun and a head full of dreams he attempted to rob a post office. Swiftly apprehended and originally sentenced to 7 years in jail, Peterson has subsequently been behind bars for 34 years, 30 of which have been spent in solitary confinement. During that time, Michael Petersen, the boy, faded away and 'Charles Bronson,' his superstar alter ego, took center stage. Inside the mind of Bronson - a scathing indictment of celebrity culture.",http://ia.media-imdb.com/images/M/MV5BMTMxOTA2MjA3OV5BMl5BanBnXkFtZTcwODM4Nzc4Mg@@._V1_SX300.jpg,R,13-Mar-09,92 min,Bronson,"Undeniably gripping, Bronson forces the viewer to make some hard decisions about where the line between art and exploitation lies.",59,certified,76,6.6,78,19,74,3.7,15217,movie,"Brock Norman Brock (screenplay), Nicolas Winding Refn (screenplay)",2008
Bros_Before_Hos,1,N/A,N/A,N/A,N/A,"Sylvia Hoeks, Raymond Thiry, Birgit Schuurman, Bo Maerten",1 win & 4 nominations.,Netherlands,"Steffen Haars, Flip Van der Kuil",Comedy,tt2947832,6.4,"3,323",Dutch,N/A,"Because of a bad marriage of their parents, two brothers Jules (Daniel Arends) en Max (Tim Haars) made a pact never to get into a relationship with a woman. Therefore, they live a party-life in which they sleep with a different girl every day. However this changes when Jules starts to date Anna (Sylvia Hoeks) and Max falls in love with her. Can their bromance overcome this love triangle. Although the makers of this movie claim this movie is a romcom, it still has the same adolescent humour we are accustomed to with Steffen en Flip.",http://ia.media-imdb.com/images/M/MV5BNzExNzkwMTA4OV5BMl5BanBnXkFtZTgwOTM4MDU3MDE@._V1_SX300.jpg,N/A,5-Dec-13,87 min,Bros Before Hos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.1,35,movie,"Steffen Haars, Flip Van der Kuil",2013
Brother_Bear,0,$85.1M,30-Mar-04,Buena Vista Pictures,http://disney.go.com/disneypictures/brotherbear/main.html,"Joaquin Phoenix, Jeremy Suarez, Jason Raize, Rick Moranis",Nominated for 1 Oscar. Another 2 wins & 19 nominations.,USA,"Aaron Blaise, Robert Walker","Animation, Adventure, Family",tt0328880,6.7,"58,518","English, Inuktitut, Croatian, Serbian",48,"Kenai, a man who resents bears after a fight with one kills his older brother, is turned into a bear so he can see life from a different perspective. He is visited by the spirit of his older brother, and is told that, if he wishes to be changed back into a human, he must travel to the place where the lights touch the Earth, in other words, the Northern Lights. Fueled by hope, Kenai sets off on his long journey, and, along the way, encounters a younger bear, Koda, who is a chatterbox and a fun-loving spirit; Koda is trying to find his way back to his home, the Salmon Run, which, coincidentally, is right next to where the lights touch the Earth. Koda and Kenai team up, but are hunted by Kenai's other brother, Denahi, who fears that the bear has killed Kenai as well. Along the way, the two bears meet other friends, including two moose, some rams, and some mammoths, with whom they hitch a ride. However, Kenai discovers that he likes being a bear, and realizes that humans aren't only afraid of bears; through Koda's eyes, the humans are the monsters, with their long spears. With a whole new view on life, Kenai makes a decision that will change his world forever.",http://ia.media-imdb.com/images/M/MV5BOTA2NzM4MjY1NV5BMl5BanBnXkFtZTcwNzkzNzQyMQ@@._V1_SX300.jpg,G,1-Nov-03,85 min,Brother Bear,"Brother Bear is gentle and pleasant if unremarkable Disney fare, with so-so animation and generic plotting.",48,rotten,38,5.5,125,77,65,3.3,187645,movie,"Tab Murphy (screenplay), Lorne Cameron (screenplay), David Hoselton (screenplay), Steve Bencich (screenplay), Ron J. Friedman (screenplay), Stephen J. Anderson (story), Stevie Wermers (story), Kevin Deters (story), Woody Woodman (story), Thom Enriquez (story), Kevin Harkey (story), Broose Johnson (story), John Norton (story), John Puglisi (story), Tim Hodge (additional story), Tom LaBaff (additional story), Ray Shenusay (additional story), Brian Pimental (additional story), Jim Story (additional story), Don Dougherty (additional story), Don Hall (additional story), Samuel Levine (additional story), Aurian Redson (additional story), Chris Williams (additional story), Jeff Hand (additional story material)",2003
Casino_Royale,1,$167.0M,13-Mar-07,Sony,http://www.sonypictures.com/movies/casinoroyale/site/,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",Won 1 BAFTA Film Award. Another 20 wins & 33 nominations.,"UK, Czech Republic, USA, Germany, Bahamas",Martin Campbell,"Action, Adventure, Thriller",tt0381061,8,"395,512","English, French",81,"James Bond goes on his first ever mission as a 00. Le Chiffre is a banker to the world's terrorists. He is participating in a poker game at Montenegro, where he must win back his money, in order to stay safe among the terrorist market. The boss of MI6, known simply as M sends Bond, along with Vesper Lynd to attend this game and prevent Le Chiffre from winning. Bond, using help from Felix Leiter, Mathis and having Vesper pose as his partner, enters the most important poker game in his already dangerous career. But if Bond defeats Le Chiffre, will he and Vesper Lynd remain safe?",http://ia.media-imdb.com/images/M/MV5BMTM5MjI4NDExNF5BMl5BanBnXkFtZTcwMDM1MjMzMQ@@._V1_SX300.jpg,PG-13,17-Nov-06,144 min,Casino Royale,"Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007.",210,certified,95,7.8,222,12,89,3.9,698211,movie,"Neal Purvis (screenplay), Robert Wade (screenplay), Paul Haggis (screenplay), Ian Fleming (novel)",2006
Chef,0,N/A,30-Sep-14,Open Road Films,http://www.facebook.com/ChefTheFilm,"Jon Favreau, John Leguizamo, Bobby Cannavale, Emjay Anthony",2 nominations.,USA,Jon Favreau,"Comedy, Drama",tt2883512,7.3,"98,294","English, Spanish",68,"Carl Casper is an acclaimed chef with a family life that seems as decaying as his artistic freedom. Those frustrations boil over into a raucous viral-videoed public confrontation against a restaurant critic who panned his cooking of food that his boss ordered him to make against his instincts. Now with his career ruined, Carl's ex-wife offers an unorthodox solution in Miami: refit an old food truck to offer quality cooking on his own terms. Now with his young son, Percy, and old colleague, Martin, helping, Carl takes a working trip across America with that truck to rediscover his gastronomic passion. With Percy's tech savvy and Martin's enthusiasm, Carl finds that he is creating a traveling sensation on the way home. In doing so, Carl discovers he is serving up more than simply food, but also a deeper connection with his life and his family that is truly delicious in its own way.",http://ia.media-imdb.com/images/M/MV5BMTY5NTYzNTA1M15BMl5BanBnXkFtZTgwODIwODU1MTE@._V1_SX300.jpg,R,30-May-14,114 min,Chef,"Chef's charming cast and sharp, funny script add enough spice to make this feel-good comedy a flavorful -- if familiar -- treat.",146,certified,86,6.8,169,23,85,4,54758,movie,Jon Favreau,2014
Dirty_Dancing,1,N/A,19-Aug-97,Vestron Pictures,N/A,"Jennifer Grey, Patrick Swayze, Jerry Orbach, Cynthia Rhodes",Won 1 Oscar. Another 12 wins & 6 nominations.,USA,Emile Ardolino,"Drama, Music, Romance",tt0092890,6.8,"122,809",English,65,"In 1963, Frances &quot;Baby&quot; Houseman, a sweet daddy's girl, goes with her family to a resort in upstate New York's Catskill Mountains. Baby has grown up in privileged surroundings and all expect her to go on to college, join the Peace Corps and save the world before marrying a doctor, just like her father. Unexpectedly, Baby becomes infatuated with the camp's dance instructor, Johnny Castle, a man whose background is vastly different from her own. Baby lies to her father to get money to pay for an illegal abortion for Johnny's dance partner. She then fills in as Johnny's dance partner and it is as he is teaching her the dance routine that they fall in love. It all comes apart when Johnny's friend falls seriously ill after her abortion and Baby gets her father, who saves the girl's life. He then learns what Baby has been up to, who with and worse - that he funded the illegal abortion. He bans his daughter from any further association with &quot;those people&quot;. In the first deliberately willful action of her life, Baby later sneaks out to see Johnny - ostensibly to apologize for her father's rudeness - and ends up consummating her relationship with Johnny. A jealous fellow vacationer sees Baby sneaking out of Johnny's bungalow the next morning, and in an act of retribution, tells management that he is responsible for a theft the evening before, knowing he would not furnish his real whereabouts.",http://ia.media-imdb.com/images/M/MV5BMTc3MDY3ODQ2OV5BMl5BanBnXkFtZTgwOTQ2NTYxMTE@._V1_SX300.jpg,PG-13,21-Aug-87,100 min,Dirty Dancing,N/A,40,fresh,71,6,56,16,90,3.7,1053477,movie,Eleanor Bergstein,1987
Donnie_Darko,1,N/A,19-Mar-02,Newmarket Film Group,http://www.donniedarko.com,"Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase",11 wins & 13 nominations.,USA,Richard Kelly,"Drama, Mystery, Sci-Fi",tt0246578,8.1,"504,258",English,71,"Donnie Darko doesn't get along too well with his family, his teachers and his classmates; but he does manage to find a sympathetic friend in Gretchen, who agrees to date him. He has a compassionate psychiatrist, who discovers hypnosis is the means to unlock hidden secrets. His other companion may not be a true ally. Donnie has a friend named Frank - a large bunny which only Donnie can see. When an engine falls off a plane and destroys his bedroom, Donnie is not there. Both the event, and Donnie's escape, seem to have been caused by supernatural events. Donnie's mental illness, if such it is, may never allow him to find out for sure.",http://ia.media-imdb.com/images/M/MV5BMTczMzE4Nzk3N15BMl5BanBnXkFtZTcwNDg5Mjc4NA@@._V1_SX300.jpg,R,30-Jan-02,113 min,Donnie Darko,"Richard Kelly's debut feature Donnie Darko is a daring, original vision, packed with jarring ideas and intelligence and featuring a remarkable performance from Jake Gyllenhaal as the troubled title character.",92,certified,85,7.5,108,16,80,3.1,30980074,movie,Richard Kelly,2001
Drive,0,$35.1M,31-Jan-12,FilmDistrict,http://www.drive-movie.com/,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",Nominated for 1 Oscar. Another 78 wins & 124 nominations.,USA,Nicolas Winding Refn,"Crime, Drama",tt0780504,7.8,"384,423","English, Spanish",78,"A mysterious man who has multiple jobs as a garage mechanic, a Hollywood stuntman and a getaway driver seems to be trying to escape his shady past as he falls for his neighbor - whose husband is in prison and who's looking after her child alone. Meanwhile, his garage mechanic boss is trying to set up a race team using gangland money, which implicates our driver as he is to be used as the race team's main driver. Our hero gets more than he bargained for when he meets the man who is married to the woman he loves.",http://ia.media-imdb.com/images/M/MV5BOTM1ODQ0Nzc4NF5BMl5BanBnXkFtZTcwMTM0MjQyNg@@._V1_SX300.jpg,R,16-Sep-11,100 min,Drive,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.",220,certified,93,8.3,237,17,78,3.9,112460,movie,"Hossein Amini (screenplay), James Sallis (book)",2011
