BoxOffice,DVD,Production,Website,actors,awards,country,director,genre,imdbID,imdbRating,imdbVotes,language,metascore,plot,poster,rated,released,runtime,title,tomatoConsensus,tomatoFresh,tomatoImage,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,type,writer,year
N/A,N/A,N/A,N/A,"Dong-il Song, Jiao Xu, Hee-won Kim, Kang-woo Kim",2 wins & 1 nomination.,"South Korea, China",Yong-hwa Kim,"Comedy, Drama, Sport",tt2969458,6.3,531,"Korean, Mandarin",N/A,"Wei-wei, a 15-year old circus ringmaster of a falling troupe in China, is left behind an insurmountable debt when her grandfather dies in the Great Sichuan Earthquake. The only family/friend she can depend on is a forty-five year old &quot;baseball playing gorilla&quot; named Ling-ling. When a loan shark threatens to sell Ling-ling and the circus kids to cover the debt, Wei-wei has no choice but to allow Ling-ling to be scouted by the materialistic sports agent Sung Chung-su to play in the Korean Baseball League. Despite the skeptical of the professional baseball society, Sung Chung-su successfully signs Ling-ling with a professional team with his calculated plan and sweet talks. Ling-ling, now dubbed &quot;Mr. Go,&quot; hits consecutive home runs and brings victories to his team Doosan. His popularity grows so immensely that even the fans of his opposing teams cheer for him. Mr.Go's successful home-run parade continues, but Wei-wei and Sung, stunned and blinded by the sudden success, neglect to detect Ling-ling's worsening knee injury. When two rival Japanese baseball clubs compete to sign a scouting deal with &quot;Mr.Go&quot; by suggesting ground-breaking trade conditions to his agent Sung, &quot;Mr.Go&quot; suddenly falls to the ground and is unable to swing a bat...",http://ia.media-imdb.com/images/M/MV5BMTk2ODAxODEwOV5BMl5BanBnXkFtZTcwNTk5NjI3OQ@@._V1_SX300.jpg,N/A,17-Jul-13,132 min,Mr. Go,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,movie,Yong-hwa Kim (screenplay),2013
N/A,9-Nov-99,Buena Vista,N/A,"Ming-Na Wen, Lea Salonga, June Foray, Soon-Tek Oh",Nominated for 1 Oscar. Another 17 wins & 20 nominations.,USA,"Tony Bancroft, Barry Cook","Animation, Adventure, Family",tt0120762,7.5,"139,484","English, Mandarin",71,"This retelling of the old Chinese folktale is about the story of a young Chinese maiden who learns that her weakened and lame father is to be called up into the army in order to fight the invading Huns. Knowing that he would never survive the rigours of war in his state, she decides to disguise herself and join in his place. Unknown to her, her ancestors are aware of this and to prevent it, they order a tiny disgraced dragon, Mushu to join her in order to force her to abandon her plan. He agrees, but when he meets Mulan, he learns that she cannot be dissuaded and so decides to help her in the perilous times ahead.",http://ia.media-imdb.com/images/M/MV5BMTIwNjY4NDU2NF5BMl5BanBnXkFtZTcwMzM0OTUyMQ@@._V1_SX300.jpg,G,19-Jun-98,88 min,Mulan,"Exploring themes of family duty and honor, Mulan breaks new ground as a Disney film, while still bringing vibrant animation and sprightly characters to the screen.",63,certified,86,7.5,73,10,84,3.4,608681,movie,"Robert D. San Souci (story), Rita Hsiao (screenplay), Chris Sanders (screenplay), Philip LaZebnik (screenplay), Raymond Singer (screenplay), Eugenia Bostwick-Singer (screenplay), Dean DeBlois (head writer), John Sanford (story), Tim Hodge (story), Burny Mattinson (story), Barry Johnson (story), Ed Gombert (story), Chris Williams (story), Julius Aguimatang (story), Lorna Cook (story), Thom Enriquez (story), Joe Grant (story), Floyd Norman (story), Linda Woolverton (additional story material), Jodi Ann Johnson (additional story material), Alan Ormsby (additional story material), David Reynolds (additional story material), Don Dougherty (additional story material), Jorgen Klubien (additional story material), Denis Rich (additional story material), Joe Ekers (additional story material), Theodore Newton (additional story material), Larry Scholl (additional story material), Daan Jippes (additional story material), Frank Nissen (additional story material), Jeff Snow (additional story material)",1998
$14.6M,13-Mar-12,The Weinstein Company,http://myweekwithmarilynmovie.com/,"Michelle Williams, Eddie Redmayne, Julia Ormond, Kenneth Branagh",Nominated for 2 Oscars. Another 22 wins & 53 nominations.,"UK, USA",Simon Curtis,"Biography, Drama",tt1655420,7,"65,767","English, French",65,"Sir Laurence Olivier is making a movie in London. Young Colin Clark, an eager film student, wants to be involved and he navigates himself a job on the set. When film star Marilyn Monroe arrives for the start of shooting, all of London is excited to see the blonde bombshell, while Olivier is struggling to meet her many demands and acting ineptness, and Colin is intrigued by her. Colin's intrigue is met when Marilyn invites him into her inner world where she struggles with her fame, her beauty and her desire to be a great actress.",http://ia.media-imdb.com/images/M/MV5BMTYzODYwOTIzOV5BMl5BanBnXkFtZTcwODE2NjAwNw@@._V1_SX300.jpg,R,23-Dec-11,99 min,My Week with Marilyn,"Michelle Williams shines in My Week with Marilyn, capturing the magnetism and vulnerability of Marilyn Monroe.",135,certified,83,7.1,162,27,71,3.6,33952,movie,"Adrian Hodges (screenplay), Colin Clark (books)",2011
$113.6M,10-Mar-15,20th Century Fox,http://www.nightatthemuseummovie.com/,"Ben Stiller, Robin Williams, Owen Wilson, Steve Coogan",1 win & 2 nominations.,"USA, UK",Shawn Levy,"Adventure, Comedy, Family",tt2692250,6.3,"35,666",English,47,"At the Museum of Natural History, there's new exhibit being unveiled. Larry Daley who manages the night exhibit because the exhibits come to life because of the Tablet of Ahkmenrah, is in charge of the presentation. But when the exhibits go wild, Larry finds himself in trouble. He learns that the Tablet is corroding so he does some research and learns that Cecil, the former museum guard was at the site when the Tablet was discovered. He tells Larry that they were warned that if they remove it could mean the end. Larry realizes it means the end of magic. He talks to Ahkmenrah who says that he doesn't know anything. Only his father the Pharoah knows the Tablet's secrets. He learns that the Pharoah was sent to the London museum. So he convinces, Dr. McPhee the museum curator to help send him to London. He goes and takes Ahkmenrah with him but some of the others like Teddy Roosevelt, Attila, Octavius, and Jedediah come with him.",http://ia.media-imdb.com/images/M/MV5BMjI1MzM2ODEyMV5BMl5BanBnXkFtZTgwNTIzODAwMzE@._V1_SX300.jpg,PG,19-Dec-14,98 min,Night at the Museum: Secret of the Tomb,"While not without its moments, Night at the Museum: Secret of the Tomb is a less-than-inspired sendoff for the trilogy.",50,rotten,50,5,101,51,59,3.6,99156,movie,"David Guion (screenplay), Michael Handelman (screenplay), Mark Friedman (story), David Guion (story), Michael Handelman (story), Thomas Lennon (characters), Robert Ben Garant (characters)",2014
N/A,10-Feb-15,Open Road Films,http://nightcrawlerfilm.com/,"Jake Gyllenhaal, Michael Papajohn, Marco Rodriguez, Bill Paxton",Nominated for 1 Oscar. Another 46 wins & 75 nominations.,USA,Dan Gilroy,"Crime, Thriller",tt2872718,7.9,"183,055",English,76,"NIGHTCRAWLER is a thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism. Finding a group of freelance camera crews who film crashes, fires, murder and other mayhem, Lou muscles into the cut-throat, dangerous realm of nightcrawling - where each police siren wail equals a possible windfall and victims are converted into dollars and cents. Aided by Rene Russo as Nina, a veteran of the blood-sport that is local TV news, Lou blurs the line between observer and participant to become the star of his own story.",http://ia.media-imdb.com/images/M/MV5BMjM5NjkzMjE5MV5BMl5BanBnXkFtZTgwNTMzNTk4MjE@._V1_SX300.jpg,R,31-Oct-14,117 min,Nightcrawler,"Restless, visually sleek, and powered by a lithe star performance from Jake Gyllenhaal, Nightcrawler offers dark, thought-provoking thrills.",212,certified,95,8.2,223,11,86,4.1,73532,movie,Dan Gilroy,2014
$2.3M,N/A,CJ Entertainment,http://www.cj-entertainment.com/movies/141117-001/ode-to-my-father,"Jeong-min Hwang, Yunjin Kim, Dal-su Oh, Jin-young Jung",N/A,South Korea,Youn Jk,Drama,tt3812366,7.5,232,"Korean, English, German",N/A,"Amid the chaos of refugees fleeing the Korean War in December 1950, a young boy, Duk-soo, sees his fate change in the blink of an eye when he loses track of his younger sister and he leaves his father behind to find her. Settling in Busan, Duk-soo devotes himself to his remaining family, working all manner of odd jobs to support them in place of his father. His dedication leads him first to the deadly coal mines of Germany, where he meets his first love, Youngja, and then to war-torn Vietnam in this generational epic about one man's personal sacrifices.",http://ia.media-imdb.com/images/M/MV5BNzU1ODg0NDUwN15BMl5BanBnXkFtZTgwNjY1MDQ1MzE@._V1_SX300.jpg,N/A,17-Dec-14,126 min,Ode to My Father,N/A,3,fresh,60,7,5,2,81,4.3,715,movie,Soo-jin Park,2014
N/A,N/A,N/A,N/A,"Luca Zingaretti, Marco D'Amore, Loredana Simioli, Edoardo De Angelis",N/A,Italy,Edoardo De Angelis,"Crime, Drama, Thriller",tt3552638,6.5,171,Italian,N/A,A lawyer has to cross the edge between law and crime to protect his family.,http://ia.media-imdb.com/images/M/MV5BMTU4OTU2OTgyMF5BMl5BanBnXkFtZTgwNjE0ODMzMjE@._V1_SX300.jpg,N/A,2-Oct-14,94 min,Perez.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,4.2,3,movie,"Edoardo De Angelis, Filippo Gravino",2014
N/A,10-Feb-15,Sony Pictures,http://www.facebook.com/PredestinationMovie,"Ethan Hawke, Sarah Snook, Christopher Kirby, Christopher Sommers",7 wins & 5 nominations.,Australia,"Michael Spierig, Peter Spierig","Drama, Mystery, Sci-Fi",tt2397535,7.4,"109,490",English,69,"PREDESTINATION chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to ensure the continuation of his law enforcement career for all eternity. Now, on his final assignment, the Agent must pursue the one criminal that has eluded him throughout time.",http://ia.media-imdb.com/images/M/MV5BMTAzODc3NjU1NzNeQTJeQWpwZ15BbWU4MDk5NTQ4NTMx._V1_SX300.jpg,R,9-Jan-15,97 min,Predestination,"Fun genre fare with uncommon intelligence, Predestination serves as a better-than-average sci-fi adventure -- and offers a starmaking turn from Sarah Snook.",82,certified,84,6.8,98,16,74,3.7,18767,movie,"Michael Spierig, Peter Spierig, Robert A. Heinlein (story)",2014
N/A,19-May-98,Miramax Films,N/A,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta",Won 1 Oscar. Another 63 wins & 47 nominations.,USA,Quentin Tarantino,"Crime, Drama",tt0110912,8.9,"1,117,616","English, Spanish, French",94,"Jules Winnfield and Vincent Vega are two hitmen who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace. Wallace has also asked Vincent to take his wife Mia out a few days later when Wallace himself will be out of town. Butch Coolidge is an aging boxer who is paid by Wallace to lose his next fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents.",http://ia.media-imdb.com/images/M/MV5BMjE0ODk2NjczOV5BMl5BanBnXkFtZTYwNDQ0NDg4._V1_SX300.jpg,R,14-Oct-94,154 min,Pulp Fiction,"One of the most influential films of the 1990s, Pulp Fiction is a delirious post-modern mix of neo-noir thrills, pitch-black humor, and pop-culture touchstones.",70,certified,93,9,75,5,96,4.2,1117227,movie,"Quentin Tarantino (story), Roger Avary (story), Quentin Tarantino",1994
$90.4M,25-Jan-11,Summit Entertainment,http://red-themovie.com/,"Bruce Willis, Mary-Louise Parker, Heidi von Palleske, Karl Urban",Nominated for 1 Golden Globe. Another 2 wins & 16 nominations.,USA,Robert Schwentke,"Action, Comedy, Crime",tt1245526,7.1,"214,189","English, Russian",60,"Frank (Bruce Willis) is retired, bored and lonely living off his government pension in a nondescript suburb in an equally nondescript house. The only joy in Frank's life are his calls to the government pension processing center when he gets to talk to his case worker Sarah (Mary-Louis Parker). Sarah is as bored and lonely as Frank and marks her conversations with the unknown Frank and her spy novels as the only things fun in her life. When something in Frank's past forces Frank back into his old line of work and puts an unwitting Sarah in the middle of the intrigue, Frank and Sarah begin a journey into Frank's past and the people he used to work with. Like Frank they are all RED ... Retired Extremely Dangerous.",http://ia.media-imdb.com/images/M/MV5BMzg2Mjg1OTk0NF5BMl5BanBnXkFtZTcwMjQ4MTA3Mw@@._V1_SX300.jpg,PG-13,15-Oct-10,111 min,RED,"It may not be the killer thrill ride you'd expect from an action movie with a cast of this caliber, but Red still thoroughly outshines most of its big-budget counterparts with its wit and style.",139,certified,71,6.3,196,57,72,3.7,134587,movie,"Jon Hoeber (screenplay), Erich Hoeber (screenplay), Warren Ellis (graphic novel), Cully Hamner (graphic novel)",2010
$105.2M,21-Sep-10,Universal,http://www.robinhoodthemovie.com/,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt",1 win & 15 nominations.,"USA, UK",Ridley Scott,"Action, Adventure, Drama",tt0955308,6.7,"192,013","English, French",53,"Birth of a legend. Following King Richard's death in France, archer Robin Longstride, along with Will Scarlett, Alan-a-Dale and Little John, returns to England. They encounter the dying Robert of Locksley, whose party was ambushed by treacherous Godfrey, who hopes to facilitate a French invasion of England. Robin promises the dying knight he will return his sword to his father Walter in Nottingham. Here Walter encourages him to impersonate the dead man to prevent his land being confiscated by the crown, and he finds himself with Marian, a ready-made wife. Hoping to stir baronial opposition to weak King John and allow an easy French take-over, Godfrey worms his way into the king's service as Earl Marshal of England and brutally invades towns under the pretext of collecting Royal taxes. Can Robin navigate the politics of barons, royals, traitors, and the French?",http://ia.media-imdb.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_SX300.jpg,PG-13,14-May-10,140 min,Robin Hood,"Ridley Scott's revisionist take on this oft-told tale offers some fine acting and a few gripping action sequences, but it's missing the thrill of adventure that made Robin Hood a legend in the first place.",103,rotten,43,5.4,239,136,58,3.5,264400,movie,"Brian Helgeland (screenplay), Brian Helgeland (story), Ethan Reiff (story), Cyrus Voris (story)",2010
N/A,26-May-15,Universal,http://www.seventhsonmovie.com,"Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander",N/A,"USA, UK, Canada, China",Sergey Bodrov,"Action, Adventure, Fantasy",tt1121096,5.5,"20,293",English,30,"John Gregory, who is a seventh son of a seventh son and also the local spook, has protected his country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't? Should he trust the girl with pointy shoes? How can Thomas stand a chance against Mother Malkin, the most dangerous witch in the county?",http://ia.media-imdb.com/images/M/MV5BMjAxNTg2MDkyN15BMl5BanBnXkFtZTgwNzA3NzY1MjE@._V1_SX300.jpg,PG-13,6-Feb-15,102 min,Seventh Son,"Seventh Son squanders an excellent cast and some strange storyline ingredients, leaving audiences with one disappointingly dull fantasy adventure.",13,rotten,13,3.8,104,91,38,2.9,50126,movie,"Charles Leavitt (screenplay), Steven Knight (screenplay), Matt Greenberg (screen story), Joseph Delaney (novel)",2014
N/A,10-Aug-99,Miramax,http://www.miramax.com/mm_front/owa/mp.entryPoint?action=0&midStr=742,"Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan",Won 7 Oscars. Another 60 wins & 73 nominations.,USA,John Madden,"Comedy, Drama, Romance",tt0138097,7.2,"159,626",English,87,"Will Shakespeare is a known but struggling poet, playwright and actor who not only has sold his next play to both Philip Henslow and Richard Burbidge but now faces a far more difficult problem: he is bereft of ideas and has yet to begin writing. He is in search of his muse, the woman who will inspire him but all attempts fail him until he meets the beautiful Viola de Lesseps. She loves the theatre and would like nothing more than to take to the stage but is forbidden from doing so as only men can be actors. She is also a great admirer of Shakespeare's works. Dressing as a man and going by the name of Thomas Kent, she auditions and is ideal for a part in his next play. Shakespeare soon sees through her disguise and they begin a love affair, one they know cannot end happily for them as he is already married and she has been promised to the dour Lord Wessex. As the company rehearses his new play, Will and Viola's love is transferred to the written page leading to the masterpiece that is Romeo and Juliet.",http://ia.media-imdb.com/images/M/MV5BMTc0ODI2NDk2OV5BMl5BanBnXkFtZTcwNTIzNDQ4OQ@@._V1_SX300.jpg,R,8-Jan-99,123 min,Shakespeare in Love,"Endlessly witty, visually rapturous, and sweetly romantic, Shakespeare in Love is a delightful romantic comedy that succeeds on nearly every level.",115,certified,92,8.3,125,10,80,3.4,225524,movie,"Marc Norman, Tom Stoppard",1998
N/A,22-May-01,United Artists,http://www.fjtlesoiseaux.fr/cinema.html,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",Won 1 Oscar. Another 13 wins & 9 nominations.,USA,Billy Wilder,Comedy,tt0053291,8.3,"151,910",English,N/A,"When two Chicago musicians, Joe and Jerry, witness the the St. Valentine's Day massacre, they want to get out of town and get away from the gangster responsible, Spats Colombo. They're desperate to get a gig out of town but the only job they know of is in an all-girl band heading to Florida. They show up at the train station as Josephine and Daphne, the replacement saxophone and bass players. They certainly enjoy being around the girls, especially Sugar Kane Kowalczyk who sings and plays the ukulele. Joe in particular sets out to woo her while Jerry/Daphne is wooed by a millionaire, Osgood Fielding III. Mayhem ensues as the two men try to keep their true identities hidden and Spats Colombo and his crew show up for a meeting with several other crime lords.",http://ia.media-imdb.com/images/M/MV5BNzYzMDkzNDQ0N15BMl5BanBnXkFtZTcwNzQ0NDQyNA@@._V1_SX300.jpg,NOT RATED,29-Mar-59,120 min,Some Like It Hot,N/A,47,certified,96,8.9,49,2,94,4.1,80835,movie,"Billy Wilder (screenplay), I.A.L. Diamond (screenplay), Robert Thoeren (suggested by a story by), Michael Logan (suggested by a story by)",1959
$18.5M,12-May-15,Sony Pictures Classics,http://sonyclassics.com/stillalice/,"Julianne Moore, Kate Bosworth, Shane McRae, Hunter Parrish",Won 1 Oscar. Another 33 wins & 11 nominations.,"USA, France","Richard Glatzer, Wash Westmoreland",Drama,tt3316960,7.5,"31,198",English,72,"Alice Howland is a renowned linguistics professor happily married with three grown children. All that begins to change when she strangely starts to forget words and then more. When her doctor diagnoses her with Early-onset Alzheimer's Disease, Alice and her family's lives face a harrowing challenge as this terminal degenerative neurological ailment slowly progresses to an inevitable conclusion they all dread. Along the way, Alice struggles to not only to fight the inner decay, but to make the most of her remaining time to find the love and peace to make simply living worthwhile.",http://ia.media-imdb.com/images/M/MV5BMjIzNzAxNjY1Nl5BMl5BanBnXkFtZTgwMDg4ODQxMzE@._V1_SX300.jpg,PG-13,20-Feb-15,101 min,Still Alice,"Elevated by a gripping performance from Julianne Moore, Still Alice is a heartfelt drama that honors its delicate themes with bravery and sensitivity.",133,certified,89,7.5,150,17,86,4,28004,movie,"Lisa Genova (novel), Richard Glatzer (screenplay), Wash Westmoreland (screenplay)",2014
N/A,13-Apr-15,IFC Films,N/A,"Essie Davis, Noah Wiseman, Hayley McElhinney, Daniel Henshall",40 wins & 52 nominations.,"Australia, Canada",Jennifer Kent,"Drama, Horror, Thriller",tt2321549,6.9,"61,938",English,86,"Amelia, who lost her husband in a car crash on the way to give birth to Samuel, their only child. She struggles to cope with her fate as a single mom. Samuel's constant fear of monsters and violent reaction to overcome the fear doesn't help her cause either, which makes her friends become distant. When things can not get any worse, they read a strange book in their house about the 'Babadook' monster that hides in the dark areas of their house. Even Amelia seems to feel the effect of Babadook and desperately tries in vain to destroy the book. The nightmarish experiences the two encounter form the rest of the story.",http://ia.media-imdb.com/images/M/MV5BMTk0NzMzODc2NF5BMl5BanBnXkFtZTgwOTYzNTM1MzE@._V1_SX300.jpg,NOT RATED,28-Nov-14,93 min,The Babadook,"The Babadook relies on real horror rather than cheap jump scares -- and boasts a heartfelt, genuinely moving story to boot.",163,certified,98,8.2,167,4,74,3.7,25386,movie,Jennifer Kent,2014
N/A,25-Mar-97,MGM Home Entertainment,N/A,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",Nominated for 1 Oscar. Another 6 wins & 17 nominations.,USA,Mike Nichols,Comedy,tt0115685,6.9,"56,851",English,72,"Armand Goldman owns a popular drag nightclub in South Miami Beach. His long-time lover, Albert, stars there as Starina. &quot;Their&quot; son Val (actually Armand's by his one heterosexual fling, twenty years before) comes home to announce his engagement to Barbara Keeley, daughter of Kevin Keeley, US Senator, and co-founder of the Committee for Moral Order. The Senator and family descend upon South Beach to meet Val, his father and &quot;mother.&quot; What ensues is comic chaos.",http://ia.media-imdb.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX300.jpg,R,8-Mar-96,117 min,The Birdcage,"Mike Nichols wrangles agreeably amusing performances from Robin Williams and Nathan Lane in this fun, if not quite essential, remake of the French comedy La Cage aux Folles.",37,certified,79,6.7,47,10,81,3.3,103960,movie,"Jean Poiret (play), Francis Veber (earlier screenplay), Edouard Molinaro (earlier screenplay), Marcello Danon (earlier screenplay), Jean Poiret (earlier screenplay), Elaine May (screenplay)",1996
N/A,26-Oct-99,Artisan Pictures,http://www.blairwitch.com,"Heather Donahue, Joshua Leonard, Michael C. Williams, Bob Griffin",13 wins & 18 nominations.,USA,"Daniel Myrick, Eduardo Sanchez","Horror, Mystery",tt0185937,6.4,"168,745",English,81,"Three film students travel to Maryland to make a student film about a local urban legend... The Blair Witch. The three went into the woods on a two day hike to find the Blair Witch, and never came back. One year later, the students film and video was found in the woods. The footage was compiled and made into a movie. The Blair Witch Project.",http://ia.media-imdb.com/images/M/MV5BMTg0NjMyNTY4OF5BMl5BanBnXkFtZTYwOTMxOTY4._V1_SX300.jpg,R,30-Jul-99,81 min,The Blair Witch Project,"Full of creepy campfire scares, mock-doc The Blair Witch Project keeps audiences in the dark about its titular villain -- thus proving that imagination can be as scary as anything onscreen.",134,certified,87,7.7,154,20,55,2.5,399152,movie,"Daniel Myrick, Eduardo Sanchez",1999
N/A,27-Jan-15,20th Century Fox,http://www.bookoflifemovie.com/,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman",Nominated for 1 Golden Globe. Another 1 win & 22 nominations.,USA,Jorge R. Gutierrez,"Animation, Adventure, Comedy",tt2262227,7.3,"28,822","English, Spanish",67,"From producer Guillermo del Toro and director Jorge Gutierrez comes an animated comedy with a unique visual style. THE BOOK OF LIFE is the journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears. Rich with a fresh take on pop music favorites, THE BOOK OF LIFE encourages us to celebrate the past while looking forward to the future.",http://ia.media-imdb.com/images/M/MV5BMTkzOTgzNDYzOF5BMl5BanBnXkFtZTgwOTgxMTkyMjE@._V1_SX300.jpg,PG,17-Oct-14,95 min,The Book of Life,"The Book of Life's gorgeous animation is a treat, but it's a pity that its story lacks the same level of craft and detail that its thrilling visuals provide.",87,certified,82,7,106,19,78,4,46197,movie,"Jorge R. Gutierrez, Douglas Langdale",2014
$113.2M,11-Dec-12,Universal Pictures,http://www.thebournelegacy.com/,"Jeremy Renner, Scott Glenn, Stacy Keach, Edward Norton",1 win & 11 nominations.,"USA, Japan",Tony Gilroy,"Action, Adventure, Mystery",tt1194173,6.7,"201,225","English, Russian, Filipino",61,"The events in this movie take place around the same time as the events in The Bourne Ultimatum (2007). When a British reporter was writing an expose about Black Ops operations Treadstone and Black Briar, and the ones responsible for them are concerned. And when Jason Bourne, former Treadstone operative got the file on Treadstone and Black Briar and gave it to Pamela Landy who then passed it to the media. When the men behind Treadstone and Black Briar learn of this, they're concerned how this will affect other ops they have. They decide it's best to shut down all ops and make sure make everyone involved disappears. They try to take out Aaron Cross who is part of another op called Outcome, but he manages to survive. He then seeks out Dr. Marta Shearing who worked on him when he began. It seems part of the program is for all subjects to take medications but he has run out, which is why he seeks her. But someone tries to kill her. He saves her and she tells him, he should have stopped taking the medications long ago. They go to Manila so that she can help him. Later the men behind Outcome learn that Cross and Shearing are still alive. They try to get them.",http://ia.media-imdb.com/images/M/MV5BMTc4Njk3MDM1Nl5BMl5BanBnXkFtZTcwODgyOTMxOA@@._V1_SX300.jpg,PG-13,10-Aug-12,135 min,The Bourne Legacy,"It isn't quite as compelling as the earlier trilogy, but The Bourne Legacy proves the franchise has stories left to tell -- and benefits from Jeremy Renner's magnetic work in the starring role.",119,rotten,55,5.8,215,96,59,3.5,280647,movie,"Tony Gilroy (screenplay), Dan Gilroy (screenplay), Tony Gilroy (story)",2012
N/A,12-May-15,RLJ/Image Entertainment,http://www.watchimage.com/product/cobbler-the/756d2d75-0f69-e411-b9bd-b8ac6f1142,"Adam Sandler, Method Man, Adam B. Shapiro, Ellen Barkin",N/A,USA,Thomas McCarthy,"Comedy, Drama, Fantasy",tt3203616,5.8,"13,768","English, Yiddish",22,"Max Simkin repairs shoes in the same New York shop that has been in his family for generations. Disenchanted with the grind of daily life, Max stumbles upon a magical heirloom that allows him to step into the lives of his customers and see the world in a new way. Sometimes walking in another man's shoes is the only way one can discover who they really are.",http://ia.media-imdb.com/images/M/MV5BMTgzMjQ2OTQ0NV5BMl5BanBnXkFtZTgwMTc2MTI2NDE@._V1_SX300.jpg,PG-13,13-Mar-15,99 min,The Cobbler,"The Cobbler represents a slight step up from Adam Sandler's recent comedies, but while its cloying sentiment proves a more palatable substitute for his usual crass humor, it still isn't terribly compelling.",5,rotten,11,3.1,46,41,35,2.8,4218,movie,"Thomas McCarthy, Paul Sado",2014
$533.3M,9-Dec-08,Warner Bros. Pictures,http://thedarkknight.warnerbros.com/,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Won 2 Oscars. Another 137 wins & 106 nominations.,"USA, UK",Christopher Nolan,"Action, Crime, Drama",tt0468569,9,"1,415,902","English, Mandarin",82,"Batman raises the stakes in his war on crime. With the help of Lieutenant Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the city streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as The Joker.",http://ia.media-imdb.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,PG-13,18-Jul-08,152 min,The Dark Knight,"Dark, complex and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",296,certified,94,8.6,315,19,94,4.4,1816099,movie,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",2008
$124.9M,16-Sep-14,20th Century Fox,http://www.facebook.com/faultinourstarsmovie,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",18 wins & 11 nominations.,USA,Josh Boone,"Drama, Romance",tt2582846,8,"186,646",English,69,"Hazel and Augustus are two teenagers who share an acerbic wit, a disdain for the conventional, and a love that sweeps them on a journey. Their relationship is all the more miraculous, given that Hazel's other constant companion is an oxygen tank, Gus jokes about his prosthetic leg, and they meet and fall in love at a cancer support group.",http://ia.media-imdb.com/images/M/MV5BMjA4NzkxNzc5Ml5BMl5BanBnXkFtZTgwNzQ3OTMxMTE@._V1_SX300.jpg,PG-13,6-Jun-14,126 min,The Fault in Our Stars,"Wise, funny, and heartbreaking without resorting to exploitation, The Fault In Our Stars does right by its bestselling source material.",158,certified,81,6.9,196,38,86,4.2,105243,movie,"Scott Neustadter (screenplay), Michael H. Weber (screenplay), John Green (book)",2014
